Year,Total Number of Entries Available X-ray,Number of Structures Released Annually X-ray,Total Number of Entries Available cryoEM,Number of Structures Released Annually cryoEM
2026,"206,629","6,135","36,377","5,068"
2025,"200,494","10,072","31,309","7,233"
2024,"190,422","9,193","24,076","5,787"
2023,"181,229","9,582","18,289","4,575"
2022,"171,647","9,818","13,714","4,104"
2021,"161,829","9,236","9,610","2,951"
2020,"152,593","11,189","6,659","2,385"
2019,"141,404","9,618","4,274","1,451"
2018,"131,786","9,853","2,823",882
2017,"121,933","10,067","1,941",563
2016,"111,866","9,920","1,378",412
2015,"101,946","8,576",966,216
2014,"93,370","8,797",750,192
2013,"84,573","8,705",558,119
2012,"75,868","8,140",439,67
2011,"67,728","7,338",372,52
2010,"60,390","7,156",320,57
2009,"53,234","6,663",263,44
2008,"46,571","6,196",219,43
2007,"40,375","6,139",176,20
2006,"34,236","5,509",156,29
2005,"28,727","4,428",127,24
2004,"24,299","4,399",103,15
2003,"19,900","3,583",88,29
2002,"16,317","2,525",59,25
2001,"13,792","2,382",34,13
2000,"11,410","2,236",21,14
1999,"9,174","1,960",7,2
1998,"7,214","1,722",5,2
1997,"5,492","1,234",3,1
1996,"4,258",983,2,1
1995,"3,275",750,1,0
1994,"2,525","1,067",1,0
1993,"1,458",622,1,0
1992,836,181,1,0
1991,655,162,1,1
1990,493,135,0,0
1989,358,71,0,0
1988,287,52,0,0
1987,235,25,0,0
1986,210,17,0,0
1985,193,19,0,0
1984,174,21,0,0
1983,153,36,0,0
1982,117,32,0,0
1981,85,16,0,0
1980,69,16,0,0
1979,53,11,0,0
1978,42,6,0,0
1977,36,23,0,0
1976,13,13,0,0
