Year,Annual Neutron,Total Neutron
1976,0,0
1977,0,0
1978,0,0
1979,0,0
1980,0,0
1981,0,0
1982,0,0
1983,0,0
1984,0,0
1985,0,0
1986,0,0
1987,0,0
1988,1,1
1989,0,1
1990,0,1
1991,1,2
1992,0,2
1993,0,2
1994,0,2
1995,0,2
1996,0,2
1997,0,2
1998,0,2
1999,2,4
2000,1,5
2001,2,7
2002,2,9
2003,0,9
2004,2,11
2005,3,14
2006,1,15
2007,2,17
2008,5,22
2009,5,27
2010,4,31
2011,5,36
2012,4,40
2013,4,44
2014,1,45
2015,4,49
2016,4,53
2017,6,59
2018,6,65
2019,2,67
2020,1,68
2021,3,71
2022,3,74
2023,1,75
2024,6,81
2025,7,88
2026,0,88
