Year,Annual NMR,Total NMR
1976,0,0
1977,0,0
1978,0,0
1979,0,0
1980,0,0
1981,0,0
1982,0,0
1983,0,0
1984,0,0
1985,0,0
1986,0,0
1987,0,0
1988,0,0
1989,2,2
1990,7,9
1991,23,32
1992,11,43
1993,74,117
1994,222,339
1995,190,529
1996,187,716
1997,329,1045
1998,331,1376
1999,389,1765
2000,370,2135
2001,413,2548
2002,441,2989
2003,529,3518
2004,727,4245
2005,874,5119
2006,860,5979
2007,965,6944
2008,652,7596
2009,563,8159
2010,512,8671
2011,516,9187
2012,536,9723
2013,496,10219
2014,549,10768
2015,431,11199
2016,449,11648
2017,412,12060
2018,392,12452
2019,380,12832
2020,381,13213
2021,360,13573
2022,301,13874
2023,272,14146
2024,284,14430
2025,235,14665
2026,106,14771
