Year,Room temp (273-350 K),Cryogenic (<150 K)
1976,0,0
1977,0,0
1978,0,0
1979,0,0
1980,0,0
1981,0,1
1982,4,0
1983,0,0
1984,0,0
1985,1,0
1986,5,0
1987,2,0
1988,11,0
1989,10,0
1990,12,0
1991,21,2
1992,34,1
1993,18,10
1994,27,6
1995,183,45
1996,474,165
1997,855,422
1998,923,769
1999,790,1221
2000,627,1692
2001,550,1936
2002,370,2215
2003,404,3143
2004,361,3693
2005,336,4352
2006,283,4898
2007,234,5827
2008,225,5422
2009,200,6546
2010,229,6894
2011,211,7173
2012,216,7825
2013,200,8288
2014,195,8274
2015,260,9050
2016,287,9444
2017,228,10391
2018,312,9282
2019,324,9633
2020,362,10632
2021,400,8735
2022,472,9263
2023,406,8950
2024,439,9263
2025,187,4400
